,2023-01-01,2023-01-02,2023-01-03,2023-01-04,2023-01-05,2023-01-06,2023-01-07,2023-01-08,2023-01-09,2023-01-10,2023-01-11,2023-01-12,2023-01-13,2023-01-14,2023-01-15,2023-01-16,2023-01-17,2023-01-18,2023-01-19,2023-01-20,2023-01-21,2023-01-22,2023-01-23,2023-01-24,2023-01-25,2023-01-26,2023-01-27,2023-01-28,2023-01-29,2023-01-30,2023-01-31,Workday,7 Day,Count
00:00:00,1,1,0,2,1,1,1,2,3,1,3,8,2,0,0,0,3,3,4,0,2,1,0,1,1,0,0,6,4,0,1,2,2,52
01:00:00,0,1,0,1,2,1,1,0,0,1,3,6,2,0,1,0,1,1,3,1,0,0,1,0,1,0,3,1,0,0,1,1,1,32
02:00:00,0,2,0,1,0,0,0,0,1,0,1,4,0,0,0,2,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,15
03:00:00,0,1,1,1,2,1,0,0,2,1,10,8,2,1,0,3,1,3,1,5,0,0,3,3,2,1,1,0,0,1,2,2,2,56
04:00:00,1,1,3,2,3,6,4,0,5,6,3,1,7,3,0,4,4,6,6,5,2,0,5,5,2,4,6,3,1,3,3,4,3,104
05:00:00,0,3,10,13,16,9,6,0,14,15,14,16,15,10,0,10,17,14,14,12,11,0,9,15,13,14,15,13,0,5,13,13,10,316
06:00:00,2,5,20,11,19,17,11,1,19,23,22,18,20,11,1,20,16,19,18,22,11,0,20,18,25,20,22,4,1,21,23,19,15,460
07:00:00,0,8,25,26,41,32,13,4,31,23,37,32,33,7,1,23,32,40,33,27,6,1,31,35,32,31,31,4,1,44,30,31,23,714
08:00:00,0,4,16,24,38,33,5,1,25,24,30,35,25,11,1,31,38,41,29,31,11,2,26,30,35,35,40,13,2,34,24,29,22,694
09:00:00,1,6,23,31,47,38,14,2,36,36,42,40,41,9,2,35,42,42,53,51,9,3,37,39,41,39,54,11,1,50,37,39,30,912
10:00:00,2,3,28,24,27,35,13,3,30,36,40,41,43,14,4,31,27,44,43,55,12,2,40,45,31,41,42,12,3,45,46,36,28,862
11:00:00,3,9,23,41,39,41,11,5,48,40,42,35,42,8,7,43,33,50,39,49,6,7,41,34,39,37,43,11,4,53,40,39,30,923
12:00:00,5,8,19,36,43,36,8,3,31,47,50,32,41,6,5,49,25,47,35,35,12,5,41,36,37,36,33,5,1,44,43,37,28,854
13:00:00,4,7,22,37,25,33,7,4,31,27,39,27,35,10,2,38,31,31,40,42,9,4,42,30,39,37,38,8,4,33,40,33,25,776
14:00:00,1,2,19,29,27,36,4,0,31,31,43,45,31,6,2,38,25,39,38,34,5,1,47,37,40,49,40,6,2,36,27,34,25,771
15:00:00,1,2,13,17,24,23,5,1,27,25,26,24,27,4,3,18,19,23,22,37,3,7,22,23,29,24,27,5,2,39,28,24,18,550
16:00:00,2,2,16,18,20,17,5,3,17,23,21,24,21,5,5,24,15,29,21,34,7,2,26,27,25,28,21,3,5,30,12,21,16,508
17:00:00,1,1,7,13,13,6,4,4,13,9,12,14,8,7,0,12,17,15,13,8,8,3,13,9,25,11,12,7,1,12,20,12,10,298
18:00:00,0,5,4,2,12,9,1,1,6,5,5,6,6,2,1,5,3,7,7,5,9,2,9,9,9,7,4,2,0,10,10,7,5,163
19:00:00,1,3,6,2,4,4,3,2,2,5,6,2,6,2,2,4,8,9,6,8,3,4,7,2,5,6,0,1,1,5,7,5,4,126
20:00:00,3,2,3,3,5,2,1,1,3,5,2,5,2,0,0,5,3,5,3,7,1,1,2,3,2,5,4,0,1,0,6,4,3,85
21:00:00,0,2,1,0,1,9,1,0,1,11,8,3,5,0,0,2,2,1,3,0,3,5,2,1,1,1,2,1,1,2,5,3,2,74
22:00:00,0,1,2,3,2,6,0,1,2,3,7,3,3,0,4,3,4,1,7,2,0,1,2,1,5,3,3,0,0,3,2,3,2,74
23:00:00,4,1,0,3,3,4,0,0,1,11,8,2,3,0,2,5,2,2,1,2,2,5,1,1,3,1,2,1,1,3,1,3,2,75
